delegates,voting_power
0xb60362f69c35B20Adac91A3A14e333b08a20D8EC,0
0x45C1f238985cBd22C10626Fd26962f1f544C32e8,0
0xc23c067950055aE1487068A96C49E75CacECbcA2,0
0x874428A3F9f9EB45d9A86111EC4E19415050396c,0
0x2de3CEcd15BB5bdd26CBaB351595f6424146d2bf,0
0x46f3b1Db31B1ea613B480aB96dABC05eEc4856ed,0
0x046608638a7e9F38E3b08d1cF1eD2c61AD3Bf695,0
0x900F7E7304d9C6140Ee3a59F3685d9198A5D474b,0
0x4c5E1f2Fbf00D22d688f9a990a708f626b8e3d8e,0
0xcAa0c3ea04584Ca013FaA110E9225B8777Ac199A,3.54151
0x07Fda67513EC0897866098a11dC3858089D4A505,12.774
0xbF034C24902afdDF8698A8365aF904c526f1e043,0.299272
0x99c65AEed1e4A4d6b6d5C65BeAdfa4Fb8447d77e,2045.12
0x0F680F79f513CE160663b41dD124fe839366Ef4B,0
0x0B2Cd2fBD3d4Da635169C6530672a4864A890aA8,0
0xB86CeE11eF89F5E08316959eB588746ff4f5A293,0
0xBDB3BAf4a062528029fB068B09f6D7772C9Bf9c1,0
0x56e31feb3f29e11373669F49cCF52b377Cc5F5e3,0
0x9FFF9f432afd69a8B83b29ec3E84220BA62B2979,0.117
0x3fbF57b56880B2dDC38A08FCE16D1F6C51B10037,0.21
0xE0890f7439D8dF1be78bbD5d6461fdcb140cBe8c,0
0x20E589CdCAc50cC8F8b54ECDCeBD4853AB2e1D28,0.11
0xd2971366B645B766aCB25ED63F0B8e6287c74350,0.102
0x3d1c5284a5373C6E6f8a7384be73FbF03CB66006,0.2
0x0fc0348dF54D33e4ae8bF4977D17031E999c714A,0.113
0x9aF3a4ef4BA26Bc8d9882694Bc4f5bfcb691F705,0.114
0x067B2311f352899ED0d794895220D08E674ed91d,0.113
0xEF1D01171086666e68BA68ec07982C2D36B74FB6,0.11
0x73Ce6E6B32EAA8b72bBF391D9287B20dd9bF2272,0.111849
0x6A4290515aE96084bb7C8d26618ac5A198797989,0
0xeAA0e0869e2AdC41e68c9A2E5d89343BEaB54EF7,0.101
0xeE497dc48Be7B82d8A00A3a9dEe866fE12823EF1,0.104314
0xab7065B9fD515afa6b0185658954cccAe0e93e5d,1.11673
0x91A9E12b564090E4b80C92d96332b54741E04B1D,0.5
